Designator,Mid X,Mid Y,Rotation,Layer
C1,4.275,1.5,270.0,bottom
C2,2.275,1.5,270.0,bottom
C3,6.275,1.5,270.0,bottom
MIC1,3.655,3.4656,90.0,top
U1,6.09,3.5,90.0,top
